timestamp,symbol,interval,open,high,low,close,volume
2024-06-08 00:00:00,BTCUSDT,3m,69355.6,69355.61,69296.41,69302.84,64.55924
2024-06-08 00:03:00,BTCUSDT,3m,69302.84,69315.59,69298.02,69309.99,43.30727
2024-06-08 00:06:00,BTCUSDT,3m,69309.99,69346.86,69309.99,69346.85,28.11431
2024-06-08 00:09:00,BTCUSDT,3m,69346.86,69346.86,69310.0,69313.28,26.30763
2024-06-08 00:12:00,BTCUSDT,3m,69313.28,69340.0,69313.28,69339.99,28.08762
2024-06-08 00:15:00,BTCUSDT,3m,69340.0,69358.96,69339.99,69340.6,40.89758
2024-06-08 00:18:00,BTCUSDT,3m,69340.61,69412.8,69340.6,69412.79,39.8269
2024-06-08 00:21:00,BTCUSDT,3m,69412.8,69424.4,69385.02,69385.02,20.23777
2024-06-08 00:24:00,BTCUSDT,3m,69385.03,69427.59,69367.86,69424.64,40.61456
2024-06-08 00:27:00,BTCUSDT,3m,69424.65,69457.3,69424.64,69457.29,19.4912
2024-06-08 00:30:00,BTCUSDT,3m,69457.29,69482.08,69432.41,69437.2,33.53466
2024-06-08 00:33:00,BTCUSDT,3m,69437.21,69446.8,69398.29,69433.01,19.29316
2024-06-08 00:36:00,BTCUSDT,3m,69433.02,69474.3,69433.01,69456.85,20.35733
2024-06-08 00:39:00,BTCUSDT,3m,69456.85,69457.49,69440.3,69440.6,24.76814
2024-06-08 00:42:00,BTCUSDT,3m,69440.6,69476.74,69440.6,69476.73,16.62225
2024-06-08 00:45:00,BTCUSDT,3m,69476.74,69482.75,69416.4,69436.79,25.6403
2024-06-08 00:48:00,BTCUSDT,3m,69436.79,69441.0,69408.51,69408.51,13.05994
2024-06-08 00:51:00,BTCUSDT,3m,69408.51,69415.24,69393.7,69401.69,33.47863
2024-06-08 00:54:00,BTCUSDT,3m,69401.7,69418.88,69398.06,69418.87,21.69618
2024-06-08 00:57:00,BTCUSDT,3m,69418.88,69426.52,69401.5,69401.5,15.27428
2024-06-08 01:00:00,BTCUSDT,3m,69401.5,69434.98,69388.63,69412.01,34.23573
2024-06-08 01:03:00,BTCUSDT,3m,69412.01,69432.0,69412.01,69431.99,10.12569
2024-06-08 01:06:00,BTCUSDT,3m,69432.0,69434.61,69405.65,69425.98,18.9535
2024-06-08 01:09:00,BTCUSDT,3m,69425.98,69434.61,69369.57,69369.57,21.97683
2024-06-08 01:12:00,BTCUSDT,3m,69369.58,69369.58,69339.99,69339.99,19.41784
2024-06-08 01:15:00,BTCUSDT,3m,69339.99,69360.26,69321.89,69340.1,40.04372
2024-06-08 01:18:00,BTCUSDT,3m,69340.11,69348.14,69287.28,69329.99,53.2162
2024-06-08 01:21:00,BTCUSDT,3m,69330.0,69360.0,69329.99,69345.52,16.92679
2024-06-08 01:24:00,BTCUSDT,3m,69345.53,69350.0,69345.52,69349.99,12.33218
2024-06-08 01:27:00,BTCUSDT,3m,69349.99,69398.0,69349.99,69385.8,53.69282
2024-06-08 01:30:00,BTCUSDT,3m,69385.81,69418.49,69385.8,69418.49,12.92474
2024-06-08 01:33:00,BTCUSDT,3m,69418.48,69441.0,69410.7,69436.0,19.33238
2024-06-08 01:36:00,BTCUSDT,3m,69436.01,69474.55,69380.5,69380.5,38.8493
2024-06-08 01:39:00,BTCUSDT,3m,69380.51,69422.78,69380.5,69422.77,17.76038
2024-06-08 01:42:00,BTCUSDT,3m,69422.78,69455.5,69422.77,69441.68,40.90193
2024-06-08 01:45:00,BTCUSDT,3m,69441.69,69475.04,69437.59,69441.77,50.97391
2024-06-08 01:48:00,BTCUSDT,3m,69441.77,69459.96,69441.77,69454.01,32.8301
2024-06-08 01:51:00,BTCUSDT,3m,69454.02,69470.03,69444.0,69452.0,15.29697
2024-06-08 01:54:00,BTCUSDT,3m,69452.0,69470.0,69451.99,69469.99,9.09677
2024-06-08 01:57:00,BTCUSDT,3m,69469.99,69470.0,69456.0,69465.25,12.26919
2024-06-08 02:00:00,BTCUSDT,3m,69465.24,69465.25,69424.91,69424.92,19.63431
2024-06-08 02:03:00,BTCUSDT,3m,69424.92,69434.01,69420.11,69434.01,12.79594
2024-06-08 02:06:00,BTCUSDT,3m,69434.0,69434.01,69422.51,69422.52,7.76927
2024-06-08 02:09:00,BTCUSDT,3m,69422.51,69434.01,69422.51,69422.53,12.61505
2024-06-08 02:12:00,BTCUSDT,3m,69422.53,69422.53,69422.52,69422.53,6.28536
2024-06-08 02:15:00,BTCUSDT,3m,69422.52,69437.27,69422.52,69428.01,24.44879
2024-06-08 02:18:00,BTCUSDT,3m,69428.0,69439.86,69428.0,69439.86,5.8794
2024-06-08 02:21:00,BTCUSDT,3m,69439.85,69439.86,69425.17,69425.18,5.79528
2024-06-08 02:24:00,BTCUSDT,3m,69425.18,69425.18,69387.6,69387.61,29.53241
2024-06-08 02:27:00,BTCUSDT,3m,69387.61,69419.96,69387.6,69401.14,32.09366
2024-06-08 02:30:00,BTCUSDT,3m,69401.14,69425.99,69395.4,69424.49,21.98166
2024-06-08 02:33:00,BTCUSDT,3m,69424.49,69424.49,69416.5,69416.51,8.57338
2024-06-08 02:36:00,BTCUSDT,3m,69416.51,69441.85,69416.5,69428.02,18.8897
2024-06-08 02:39:00,BTCUSDT,3m,69428.01,69428.02,69428.01,69428.02,9.74721
2024-06-08 02:42:00,BTCUSDT,3m,69428.02,69441.85,69428.01,69441.85,5.29727
2024-06-08 02:45:00,BTCUSDT,3m,69441.85,69441.85,69420.01,69427.92,13.10288
2024-06-08 02:48:00,BTCUSDT,3m,69427.92,69441.84,69420.19,69441.84,10.04062
2024-06-08 02:51:00,BTCUSDT,3m,69441.84,69441.84,69420.01,69431.99,7.47553
2024-06-08 02:54:00,BTCUSDT,3m,69431.99,69431.99,69419.99,69422.6,31.24806
2024-06-08 02:57:00,BTCUSDT,3m,69422.61,69422.61,69410.28,69422.11,17.05228
2024-06-08 03:00:00,BTCUSDT,3m,69422.11,69446.78,69422.1,69444.0,26.76889
2024-06-08 03:03:00,BTCUSDT,3m,69443.99,69443.99,69422.6,69439.94,28.25178
2024-06-08 03:06:00,BTCUSDT,3m,69439.94,69439.94,69439.93,69439.94,4.54254
2024-06-08 03:09:00,BTCUSDT,3m,69439.94,69446.78,69439.93,69446.78,12.82265
2024-06-08 03:12:00,BTCUSDT,3m,69446.77,69483.15,69446.77,69483.15,27.46109
2024-06-08 03:15:00,BTCUSDT,3m,69483.14,69496.0,69471.69,69471.7,21.5423
2024-06-08 03:18:00,BTCUSDT,3m,69471.7,69471.7,69467.48,69471.7,12.13842
2024-06-08 03:21:00,BTCUSDT,3m,69471.7,69488.0,69471.69,69488.0,24.10208
2024-06-08 03:24:00,BTCUSDT,3m,69487.99,69500.8,69487.99,69498.02,26.58414
2024-06-08 03:27:00,BTCUSDT,3m,69498.01,69508.59,69498.01,69508.59,20.51756
2024-06-08 03:30:00,BTCUSDT,3m,69508.58,69508.59,69498.02,69498.03,13.04188
2024-06-08 03:33:00,BTCUSDT,3m,69498.03,69519.26,69498.02,69519.26,23.91266
2024-06-08 03:36:00,BTCUSDT,3m,69519.25,69519.26,69519.25,69519.26,8.76422
2024-06-08 03:39:00,BTCUSDT,3m,69519.25,69519.26,69519.25,69519.25,7.91792
2024-06-08 03:42:00,BTCUSDT,3m,69519.25,69525.0,69501.2,69516.98,25.57682
2024-06-08 03:45:00,BTCUSDT,3m,69516.98,69516.98,69490.0,69490.01,21.78103
2024-06-08 03:48:00,BTCUSDT,3m,69490.01,69490.01,69485.58,69485.59,11.39231
2024-06-08 03:51:00,BTCUSDT,3m,69485.58,69485.59,69467.46,69467.47,8.34069
2024-06-08 03:54:00,BTCUSDT,3m,69467.47,69467.47,69411.3,69451.38,27.76421
2024-06-08 03:57:00,BTCUSDT,3m,69451.38,69451.9,69416.76,69432.0,31.8359
2024-06-08 04:00:00,BTCUSDT,3m,69432.0,69446.57,69424.0,69446.57,15.21121
2024-06-08 04:03:00,BTCUSDT,3m,69446.56,69446.57,69439.76,69439.76,13.1519
2024-06-08 04:06:00,BTCUSDT,3m,69439.77,69466.92,69439.76,69451.99,21.58519
2024-06-08 04:09:00,BTCUSDT,3m,69452.0,69452.0,69426.44,69426.45,11.18085
2024-06-08 04:12:00,BTCUSDT,3m,69426.44,69426.45,69407.22,69418.99,24.88084
2024-06-08 04:15:00,BTCUSDT,3m,69418.99,69428.0,69418.99,69421.2,20.07718
2024-06-08 04:18:00,BTCUSDT,3m,69421.2,69421.2,69380.51,69380.51,12.77128
2024-06-08 04:21:00,BTCUSDT,3m,69380.52,69380.52,69352.18,69352.18,14.19654
2024-06-08 04:24:00,BTCUSDT,3m,69352.19,69369.24,69352.18,69369.23,20.64853
2024-06-08 04:27:00,BTCUSDT,3m,69369.23,69369.24,69366.21,69366.21,13.42032
2024-06-08 04:30:00,BTCUSDT,3m,69366.22,69366.22,69323.52,69323.52,45.09235
2024-06-08 04:33:00,BTCUSDT,3m,69323.53,69338.0,69323.52,69337.99,24.83493
2024-06-08 04:36:00,BTCUSDT,3m,69338.0,69362.0,69337.99,69361.99,14.97259
2024-06-08 04:39:00,BTCUSDT,3m,69361.99,69377.88,69361.99,69377.87,13.86368
2024-06-08 04:42:00,BTCUSDT,3m,69377.88,69377.88,69352.58,69352.58,17.58561
2024-06-08 04:45:00,BTCUSDT,3m,69352.59,69352.59,69337.14,69347.52,36.7108
2024-06-08 04:48:00,BTCUSDT,3m,69347.52,69347.52,69340.0,69343.99,37.43072
2024-06-08 04:51:00,BTCUSDT,3m,69343.99,69344.0,69277.96,69279.85,36.20659
2024-06-08 04:54:00,BTCUSDT,3m,69279.85,69303.95,69279.84,69303.94,12.66312
2024-06-08 04:57:00,BTCUSDT,3m,69303.95,69330.0,69303.94,69316.73,19.63014
2024-06-08 05:00:00,BTCUSDT,3m,69316.74,69316.74,69304.59,69304.59,12.9104
2024-06-08 05:03:00,BTCUSDT,3m,69304.59,69304.6,69264.5,69264.5,19.15286
2024-06-08 05:06:00,BTCUSDT,3m,69264.5,69274.0,69240.61,69270.15,38.79882
2024-06-08 05:09:00,BTCUSDT,3m,69270.14,69270.15,69232.15,69244.0,22.78925
2024-06-08 05:12:00,BTCUSDT,3m,69244.01,69269.18,69244.0,69266.2,32.70492
2024-06-08 05:15:00,BTCUSDT,3m,69266.21,69274.75,69261.28,69274.74,13.37866
2024-06-08 05:18:00,BTCUSDT,3m,69274.75,69304.6,69274.74,69304.59,12.33767
2024-06-08 05:21:00,BTCUSDT,3m,69304.6,69310.0,69304.59,69309.99,11.08549
2024-06-08 05:24:00,BTCUSDT,3m,69310.0,69319.74,69294.8,69294.81,26.1765
2024-06-08 05:27:00,BTCUSDT,3m,69294.8,69306.4,69290.58,69306.39,10.24751
2024-06-08 05:30:00,BTCUSDT,3m,69306.4,69342.79,69306.4,69320.0,22.99076
2024-06-08 05:33:00,BTCUSDT,3m,69320.01,69320.01,69271.62,69271.62,15.99729
2024-06-08 05:36:00,BTCUSDT,3m,69271.63,69296.0,69271.62,69295.95,16.2895
2024-06-08 05:39:00,BTCUSDT,3m,69295.96,69295.96,69284.39,69284.39,7.84105
2024-06-08 05:42:00,BTCUSDT,3m,69284.4,69284.4,69260.0,69262.97,23.13869
2024-06-08 05:45:00,BTCUSDT,3m,69262.97,69279.7,69262.97,69279.69,19.95196
2024-06-08 05:48:00,BTCUSDT,3m,69279.7,69295.0,69279.7,69294.99,16.71222
2024-06-08 05:51:00,BTCUSDT,3m,69294.99,69313.0,69294.99,69312.99,12.46254
2024-06-08 05:54:00,BTCUSDT,3m,69312.99,69320.0,69312.99,69319.99,9.2089
2024-06-08 05:57:00,BTCUSDT,3m,69319.99,69320.0,69319.99,69319.99,9.18062
2024-06-08 06:00:00,BTCUSDT,3m,69320.0,69338.62,69303.21,69337.29,65.27699
2024-06-08 06:03:00,BTCUSDT,3m,69337.3,69337.3,69326.17,69326.18,6.84632
2024-06-08 06:06:00,BTCUSDT,3m,69326.17,69326.17,69300.0,69300.01,22.79863
2024-06-08 06:09:00,BTCUSDT,3m,69300.0,69310.0,69296.26,69310.0,10.5319
2024-06-08 06:12:00,BTCUSDT,3m,69309.99,69334.4,69309.99,69334.4,29.0834
2024-06-08 06:15:00,BTCUSDT,3m,69334.39,69334.4,69317.0,69317.01,19.76246
2024-06-08 06:18:00,BTCUSDT,3m,69317.0,69370.0,69317.0,69370.0,21.76438
2024-06-08 06:21:00,BTCUSDT,3m,69370.0,69374.81,69369.99,69374.81,11.41662
2024-06-08 06:24:00,BTCUSDT,3m,69374.81,69381.36,69374.8,69379.09,28.53466
2024-06-08 06:27:00,BTCUSDT,3m,69379.09,69414.89,69379.09,69406.0,22.87659
2024-06-08 06:30:00,BTCUSDT,3m,69406.0,69406.0,69379.08,69396.97,17.251
2024-06-08 06:33:00,BTCUSDT,3m,69396.97,69396.97,69374.8,69377.56,16.64215
2024-06-08 06:36:00,BTCUSDT,3m,69377.56,69410.0,69377.55,69396.97,17.92054
2024-06-08 06:39:00,BTCUSDT,3m,69396.96,69396.97,69380.5,69380.51,9.81701
2024-06-08 06:42:00,BTCUSDT,3m,69380.51,69380.51,69374.8,69374.8,19.62637
2024-06-08 06:45:00,BTCUSDT,3m,69374.81,69385.0,69363.71,69363.72,16.75347
2024-06-08 06:48:00,BTCUSDT,3m,69363.72,69363.72,69363.71,69363.72,5.41168
2024-06-08 06:51:00,BTCUSDT,3m,69363.71,69380.0,69363.71,69380.0,13.42642
2024-06-08 06:54:00,BTCUSDT,3m,69379.99,69380.0,69314.41,69314.41,25.85019
2024-06-08 06:57:00,BTCUSDT,3m,69314.42,69333.45,69314.41,69333.45,20.11722
2024-06-08 07:00:00,BTCUSDT,3m,69333.44,69376.59,69333.44,69370.01,30.0329
2024-06-08 07:03:00,BTCUSDT,3m,69370.01,69370.01,69358.2,69358.21,11.79564
2024-06-08 07:06:00,BTCUSDT,3m,69358.21,69364.83,69358.2,69364.83,6.44132
2024-06-08 07:09:00,BTCUSDT,3m,69364.82,69364.83,69358.21,69359.13,12.70963
2024-06-08 07:12:00,BTCUSDT,3m,69359.13,69392.07,69359.12,69392.07,25.86388
2024-06-08 07:15:00,BTCUSDT,3m,69392.07,69429.65,69392.06,69429.65,31.08192
2024-06-08 07:18:00,BTCUSDT,3m,69429.64,69455.55,69429.64,69454.15,21.64482
2024-06-08 07:21:00,BTCUSDT,3m,69454.14,69485.29,69447.39,69485.29,30.47583
2024-06-08 07:24:00,BTCUSDT,3m,69485.29,69500.55,69464.5,69464.51,38.00487
2024-06-08 07:27:00,BTCUSDT,3m,69464.5,69500.0,69464.5,69499.31,34.72476
2024-06-08 07:30:00,BTCUSDT,3m,69499.31,69499.31,69447.38,69447.39,28.49183
2024-06-08 07:33:00,BTCUSDT,3m,69447.39,69500.03,69447.38,69500.03,56.58673
2024-06-08 07:36:00,BTCUSDT,3m,69500.03,69550.0,69500.02,69535.14,43.48233
2024-06-08 07:39:00,BTCUSDT,3m,69535.13,69535.15,69512.53,69518.32,24.79684
2024-06-08 07:42:00,BTCUSDT,3m,69518.31,69559.22,69512.22,69557.64,31.32503
2024-06-08 07:45:00,BTCUSDT,3m,69557.63,69561.79,69542.8,69542.81,23.88186
2024-06-08 07:48:00,BTCUSDT,3m,69542.8,69542.81,69522.0,69539.93,19.61386
2024-06-08 07:51:00,BTCUSDT,3m,69539.93,69539.93,69518.8,69531.79,27.58776
2024-06-08 07:54:00,BTCUSDT,3m,69531.79,69535.13,69523.2,69525.74,19.62052
2024-06-08 07:57:00,BTCUSDT,3m,69525.74,69582.2,69525.73,69582.2,21.99066
2024-06-08 08:00:00,BTCUSDT,3m,69582.2,69582.2,69516.38,69516.38,45.05216
2024-06-08 08:03:00,BTCUSDT,3m,69516.39,69519.99,69488.81,69488.82,33.7815
2024-06-08 08:06:00,BTCUSDT,3m,69488.82,69488.82,69458.51,69458.51,12.99922
2024-06-08 08:09:00,BTCUSDT,3m,69458.52,69488.82,69456.1,69488.81,36.79899
2024-06-08 08:12:00,BTCUSDT,3m,69488.81,69488.82,69469.24,69469.25,15.07182
2024-06-08 08:15:00,BTCUSDT,3m,69469.25,69469.25,69426.62,69427.78,15.82746
2024-06-08 08:18:00,BTCUSDT,3m,69427.77,69450.0,69427.77,69450.0,12.66359
2024-06-08 08:21:00,BTCUSDT,3m,69450.0,69450.0,69425.0,69425.0,9.08106
2024-06-08 08:24:00,BTCUSDT,3m,69425.0,69425.01,69424.9,69424.9,8.58836
2024-06-08 08:27:00,BTCUSDT,3m,69424.91,69424.91,69424.9,69424.9,7.13015
2024-06-08 08:30:00,BTCUSDT,3m,69424.91,69436.0,69424.9,69435.99,13.02369
2024-06-08 08:33:00,BTCUSDT,3m,69436.0,69436.0,69412.9,69419.44,30.59397
2024-06-08 08:36:00,BTCUSDT,3m,69419.45,69431.66,69413.84,69416.0,10.53265
2024-06-08 08:39:00,BTCUSDT,3m,69416.01,69416.01,69416.0,69416.0,5.1429
2024-06-08 08:42:00,BTCUSDT,3m,69416.0,69416.01,69392.06,69395.75,30.28348
2024-06-08 08:45:00,BTCUSDT,3m,69395.75,69420.0,69381.81,69419.99,20.12328
