timestamp,symbol,interval,open,high,low,close,volume
2024-08-07 00:00:00,ETHUSDT,1m,2461.33000000,2462.79000000,2459.74000000,2462.26000000,298.97660000
2024-08-07 00:01:00,ETHUSDT,1m,2462.27000000,2465.00000000,2461.80000000,2463.89000000,228.40630000
2024-08-07 00:02:00,ETHUSDT,1m,2463.89000000,2463.89000000,2458.26000000,2463.44000000,401.86600000
2024-08-07 00:03:00,ETHUSDT,1m,2463.43000000,2463.43000000,2460.87000000,2460.87000000,90.56780000
2024-08-07 00:04:00,ETHUSDT,1m,2460.87000000,2462.39000000,2455.15000000,2455.66000000,151.48120000
2024-08-07 00:05:00,ETHUSDT,1m,2455.61000000,2462.64000000,2454.69000000,2462.64000000,349.54850000
2024-08-07 00:06:00,ETHUSDT,1m,2462.63000000,2466.00000000,2461.25000000,2464.76000000,205.10540000
2024-08-07 00:07:00,ETHUSDT,1m,2464.76000000,2465.00000000,2457.26000000,2457.49000000,327.95930000
2024-08-07 00:08:00,ETHUSDT,1m,2457.48000000,2457.48000000,2453.34000000,2455.11000000,195.11380000
2024-08-07 00:09:00,ETHUSDT,1m,2455.11000000,2456.46000000,2451.53000000,2455.53000000,539.92340000
2024-08-07 00:10:00,ETHUSDT,1m,2455.59000000,2456.79000000,2452.36000000,2454.25000000,393.16440000
2024-08-07 00:11:00,ETHUSDT,1m,2454.25000000,2454.77000000,2450.06000000,2451.11000000,203.77870000
2024-08-07 00:12:00,ETHUSDT,1m,2451.12000000,2457.80000000,2450.93000000,2454.00000000,282.89310000
2024-08-07 00:13:00,ETHUSDT,1m,2454.00000000,2454.00000000,2449.48000000,2450.34000000,331.78190000
2024-08-07 00:14:00,ETHUSDT,1m,2450.34000000,2451.20000000,2443.04000000,2443.75000000,603.40610000
2024-08-07 00:15:00,ETHUSDT,1m,2443.75000000,2450.22000000,2442.66000000,2448.21000000,646.49170000
2024-08-07 00:16:00,ETHUSDT,1m,2448.20000000,2450.22000000,2446.19000000,2447.19000000,217.42620000
2024-08-07 00:17:00,ETHUSDT,1m,2447.20000000,2447.20000000,2431.44000000,2440.30000000,1293.47110000
2024-08-07 00:18:00,ETHUSDT,1m,2440.31000000,2449.40000000,2439.20000000,2449.39000000,499.04680000
2024-08-07 00:19:00,ETHUSDT,1m,2449.40000000,2457.11000000,2448.00000000,2457.10000000,302.53910000
2024-08-07 00:20:00,ETHUSDT,1m,2457.10000000,2460.76000000,2454.00000000,2458.60000000,468.26930000
2024-08-07 00:21:00,ETHUSDT,1m,2458.60000000,2458.60000000,2447.10000000,2448.51000000,836.62240000
2024-08-07 00:22:00,ETHUSDT,1m,2448.28000000,2452.60000000,2447.46000000,2447.91000000,319.18850000
2024-08-07 00:23:00,ETHUSDT,1m,2447.91000000,2451.20000000,2445.18000000,2446.43000000,299.35340000
2024-08-07 00:24:00,ETHUSDT,1m,2446.40000000,2449.69000000,2444.83000000,2447.81000000,112.99760000
2024-08-07 00:25:00,ETHUSDT,1m,2447.80000000,2451.64000000,2445.70000000,2449.40000000,909.88140000
2024-08-07 00:26:00,ETHUSDT,1m,2449.47000000,2453.64000000,2448.20000000,2452.79000000,136.14340000
2024-08-07 00:27:00,ETHUSDT,1m,2452.78000000,2455.91000000,2452.00000000,2455.90000000,125.77770000
